sample,trait,value,label
plant1,in_bounds,1,none
plant1,area,22742.0,pixels
plant1,convex_hull_area,24243.5,pixels
plant1,solidity,0.9380658733268711,none
plant1,perimeter,696.1391710042953,pixels
plant1,width,184,pixels
plant1,height,169,pixels
plant1,longest_path,1386,pixels
plant1,center_of_mass,311.61806349485533,x
plant1,center_of_mass,129.75349573476387,y
plant1,convex_hull_vertices,45,none
plant1,object_in_frame,1,none
plant1,ellipse_center,311.4815368652344,x
plant1,ellipse_center,129.9026641845703,y
plant1,ellipse_major_axis,190.1155548095703,pixels
plant1,ellipse_minor_axis,152.53968811035156,pixels
plant1,ellipse_angle,118.8179702758789,degrees
plant1,ellipse_eccentricity,0.5968504733353749,none
plant2,in_bounds,1,none
plant2,area,22742.0,pixels
plant2,convex_hull_area,24243.5,pixels
plant2,solidity,0.9380658733268711,none
plant2,perimeter,696.1391710042953,pixels
plant2,width,184,pixels
plant2,height,169,pixels
plant2,longest_path,1386,pixels
plant2,center_of_mass,311.61806349485533,x
plant2,center_of_mass,129.75349573476387,y
plant2,convex_hull_vertices,45,none
plant2,object_in_frame,1,none
plant2,ellipse_center,311.4815368652344,x
plant2,ellipse_center,129.9026641845703,y
plant2,ellipse_major_axis,190.1155548095703,pixels
plant2,ellipse_minor_axis,152.53968811035156,pixels
plant2,ellipse_angle,118.8179702758789,degrees
plant2,ellipse_eccentricity,0.5968504733353749,none
plant3,in_bounds,1,none
plant3,area,20719.0,pixels
plant3,convex_hull_area,23386.5,pixels
plant3,solidity,0.8859384687747205,none
plant3,perimeter,689.6538897752762,pixels
plant3,width,181,pixels
plant3,height,178,pixels
plant3,longest_path,1352,pixels
plant3,center_of_mass,639.5413388677059,x
plant3,center_of_mass,138.18553018968097,y
plant3,convex_hull_vertices,32,none
plant3,object_in_frame,1,none
plant3,ellipse_center,639.5914916992188,x
plant3,ellipse_center,138.24169921875,y
plant3,ellipse_major_axis,179.42689514160156,pixels
plant3,ellipse_minor_axis,155.3833465576172,pixels
plant3,ellipse_angle,140.00352478027344,degrees
plant3,ellipse_eccentricity,0.5000473245034335,none
plant4,in_bounds,1,none
plant4,area,20562.0,pixels
plant4,convex_hull_area,23386.5,pixels
plant4,solidity,0.8792251940221922,none
plant4,perimeter,689.6538897752762,pixels
plant4,width,181,pixels
plant4,height,178,pixels
plant4,longest_path,1352,pixels
plant4,center_of_mass,639.5694971306293,x
plant4,center_of_mass,138.20250948351327,y
plant4,convex_hull_vertices,32,none
plant4,object_in_frame,1,none
plant4,ellipse_center,639.5914916992188,x
plant4,ellipse_center,138.24169921875,y
plant4,ellipse_major_axis,179.42689514160156,pixels
plant4,ellipse_minor_axis,155.3833465576172,pixels
plant4,ellipse_angle,140.00352478027344,degrees
plant4,ellipse_eccentricity,0.5000473245034335,none
plant5,in_bounds,1,none
plant5,area,19459.0,pixels
plant5,convex_hull_area,22663.5,pixels
plant5,solidity,0.8586052463211772,none
plant5,perimeter,676.0975408554077,pixels
plant5,width,171,pixels
plant5,height,176,pixels
plant5,longest_path,1172,pixels
plant5,center_of_mass,955.6556863148157,x
plant5,center_of_mass,146.4875379002004,y
plant5,convex_hull_vertices,36,none
plant5,object_in_frame,1,none
plant5,ellipse_center,956.4715576171875,x
plant5,ellipse_center,146.79086303710938,y
plant5,ellipse_major_axis,168.08587646484375,pixels
plant5,ellipse_minor_axis,156.74017333984375,pixels
plant5,ellipse_angle,6.580735206604004,degrees
plant5,ellipse_eccentricity,0.361168537064156,none
plant6,in_bounds,1,none
plant6,area,19281.0,pixels
plant6,convex_hull_area,22663.5,pixels
plant6,solidity,0.8507512078893374,none
plant6,perimeter,948.7196782827377,pixels
plant6,width,171,pixels
plant6,height,176,pixels
plant6,longest_path,1172,pixels
plant6,center_of_mass,955.6736683781961,x
plant6,center_of_mass,146.55941081894093,y
plant6,convex_hull_vertices,36,none
plant6,object_in_frame,1,none
plant6,ellipse_center,956.3897705078125,x
plant6,ellipse_center,148.15048217773438,y
plant6,ellipse_major_axis,167.7413330078125,pixels
plant6,ellipse_minor_axis,155.7723388671875,pixels
plant6,ellipse_angle,7.032601356506348,degrees
plant6,ellipse_eccentricity,0.3709668110306304,none
plant7,in_bounds,1,none
plant7,area,24070.0,pixels
plant7,convex_hull_area,26396.0,pixels
plant7,solidity,0.911880587967874,none
plant7,perimeter,739.3523740768433,pixels
plant7,width,180,pixels
plant7,height,199,pixels
plant7,longest_path,1377,pixels
plant7,center_of_mass,1277.2653095139178,x
plant7,center_of_mass,141.63896967179062,y
plant7,convex_hull_vertices,39,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1277.1265869140625,x
plant7,ellipse_center,141.38294982910156,y
plant7,ellipse_major_axis,187.87835693359375,pixels
plant7,ellipse_minor_axis,170.0618438720703,pixels
plant7,ellipse_angle,173.12847900390625,degrees
plant7,ellipse_eccentricity,0.4250498238421335,none
plant8,in_bounds,1,none
plant8,area,24042.0,pixels
plant8,convex_hull_area,26396.0,pixels
plant8,solidity,0.910819821185028,none
plant8,perimeter,739.3523740768433,pixels
plant8,width,180,pixels
plant8,height,199,pixels
plant8,longest_path,1377,pixels
plant8,center_of_mass,1277.2773895682556,x
plant8,center_of_mass,141.6492804259213,y
plant8,convex_hull_vertices,39,none
plant8,object_in_frame,1,none
plant8,ellipse_center,1277.1265869140625,x
plant8,ellipse_center,141.38294982910156,y
plant8,ellipse_major_axis,187.87835693359375,pixels
plant8,ellipse_minor_axis,170.0618438720703,pixels
plant8,ellipse_angle,173.12847900390625,degrees
plant8,ellipse_eccentricity,0.4250498238421335,none
plant9,in_bounds,1,none
plant9,area,28610.0,pixels
plant9,convex_hull_area,30855.5,pixels
plant9,solidity,0.9272252920873102,none
plant9,perimeter,797.979790687561,pixels
plant9,width,222,pixels
plant9,height,209,pixels
plant9,longest_path,1571,pixels
plant9,center_of_mass,1615.2719328905978,x
plant9,center_of_mass,141.5720377490388,y
plant9,convex_hull_vertices,29,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1615.277587890625,x
plant9,ellipse_center,142.2573699951172,y
plant9,ellipse_major_axis,211.5538330078125,pixels
plant9,ellipse_minor_axis,176.3026123046875,pixels
plant9,ellipse_angle,53.229835510253906,degrees
plant9,ellipse_eccentricity,0.5527155565960299,none
plant10,in_bounds,1,none
plant10,area,28602.0,pixels
plant10,convex_hull_area,30855.5,pixels
plant10,solidity,0.926966019024161,none
plant10,perimeter,797.979790687561,pixels
plant10,width,222,pixels
plant10,height,209,pixels
plant10,longest_path,1571,pixels
plant10,center_of_mass,1615.3384029088875,x
plant10,center_of_mass,141.54314383609537,y
plant10,convex_hull_vertices,29,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1615.277587890625,x
plant10,ellipse_center,142.2573699951172,y
plant10,ellipse_major_axis,211.5538330078125,pixels
plant10,ellipse_minor_axis,176.3026123046875,pixels
plant10,ellipse_angle,53.229835510253906,degrees
plant10,ellipse_eccentricity,0.5527155565960299,none
plant11,in_bounds,1,none
plant11,area,29927.0,pixels
plant11,convex_hull_area,33222.5,pixels
plant11,solidity,0.9008051772142374,none
plant11,perimeter,882.9503531455994,pixels
plant11,width,251,pixels
plant11,height,179,pixels
plant11,longest_path,1815,pixels
plant11,center_of_mass,139.96648511377686,x
plant11,center_of_mass,284.8650382597654,y
plant11,convex_hull_vertices,38,none
plant11,object_in_frame,1,none
plant11,ellipse_center,139.7702178955078,x
plant11,ellipse_center,284.9316711425781,y
plant11,ellipse_major_axis,245.51791381835938,pixels
plant11,ellipse_minor_axis,158.30787658691406,pixels
plant11,ellipse_angle,104.90703582763672,degrees
plant11,ellipse_eccentricity,0.764358459779048,none
plant12,in_bounds,1,none
plant12,area,29908.0,pixels
plant12,convex_hull_area,33222.5,pixels
plant12,solidity,0.900233275641508,none
plant12,perimeter,882.9503531455994,pixels
plant12,width,251,pixels
plant12,height,179,pixels
plant12,longest_path,1815,pixels
plant12,center_of_mass,139.99662297712987,x
plant12,center_of_mass,284.8674602113147,y
plant12,convex_hull_vertices,38,none
plant12,object_in_frame,1,none
plant12,ellipse_center,139.7702178955078,x
plant12,ellipse_center,284.9316711425781,y
plant12,ellipse_major_axis,245.51791381835938,pixels
plant12,ellipse_minor_axis,158.30787658691406,pixels
plant12,ellipse_angle,104.90703582763672,degrees
plant12,ellipse_eccentricity,0.764358459779048,none
plant13,in_bounds,1,none
plant13,area,25317.0,pixels
plant13,convex_hull_area,27951.0,pixels
plant13,solidity,0.9057636578297735,none
plant13,perimeter,720.3818116188049,pixels
plant13,width,212,pixels
plant13,height,187,pixels
plant13,longest_path,1455,pixels
plant13,center_of_mass,472.75490776948294,x
plant13,center_of_mass,293.9493620887151,y
plant13,convex_hull_vertices,39,none
plant13,object_in_frame,1,none
plant13,ellipse_center,472.4656982421875,x
plant13,ellipse_center,294.5517883300781,y
plant13,ellipse_major_axis,197.70114135742188,pixels
plant13,ellipse_minor_axis,169.62246704101562,pixels
plant13,ellipse_angle,105.0435562133789,degrees
plant13,ellipse_eccentricity,0.5136928775242657,none
plant14,in_bounds,1,none
plant14,area,25129.0,pixels
plant14,convex_hull_area,27951.0,pixels
plant14,solidity,0.8990376015169403,none
plant14,perimeter,948.1566976308823,pixels
plant14,width,212,pixels
plant14,height,187,pixels
plant14,longest_path,1458,pixels
plant14,center_of_mass,472.85148633053444,x
plant14,center_of_mass,294.0163556050778,y
plant14,convex_hull_vertices,39,none
plant14,object_in_frame,1,none
plant14,ellipse_center,474.89111328125,x
plant14,ellipse_center,295.7151184082031,y
plant14,ellipse_major_axis,195.408447265625,pixels
plant14,ellipse_minor_axis,169.92788696289062,pixels
plant14,ellipse_angle,102.71171569824219,degrees
plant14,ellipse_eccentricity,0.493750543179713,none
plant15,in_bounds,1,none
plant15,area,20066.0,pixels
plant15,convex_hull_area,22903.0,pixels
plant15,solidity,0.8761297646596515,none
plant15,perimeter,684.0386657714844,pixels
plant15,width,178,pixels
plant15,height,174,pixels
plant15,longest_path,1292,pixels
plant15,center_of_mass,796.5882587461377,x
plant15,center_of_mass,300.5430080733579,y
plant15,convex_hull_vertices,32,none
plant15,object_in_frame,1,none
plant15,ellipse_center,796.8043823242188,x
plant15,ellipse_center,300.54266357421875,y
plant15,ellipse_major_axis,171.3675079345703,pixels
plant15,ellipse_minor_axis,157.98097229003906,pixels
plant15,ellipse_angle,155.51829528808594,degrees
plant15,ellipse_eccentricity,0.38746586683019535,none
plant16,in_bounds,1,none
plant16,area,19777.0,pixels
plant16,convex_hull_area,22903.0,pixels
plant16,solidity,0.8635113303933982,none
plant16,perimeter,684.0386657714844,pixels
plant16,width,178,pixels
plant16,height,174,pixels
plant16,longest_path,1292,pixels
plant16,center_of_mass,796.7698842089295,x
plant16,center_of_mass,300.76113667391417,y
plant16,convex_hull_vertices,32,none
plant16,object_in_frame,1,none
plant16,ellipse_center,796.8043823242188,x
plant16,ellipse_center,300.54266357421875,y
plant16,ellipse_major_axis,171.3675079345703,pixels
plant16,ellipse_minor_axis,157.98097229003906,pixels
plant16,ellipse_angle,155.51829528808594,degrees
plant16,ellipse_eccentricity,0.38746586683019535,none
plant17,in_bounds,1,none
plant17,area,19994.0,pixels
plant17,convex_hull_area,22735.0,pixels
plant17,solidity,0.8794369914229162,none
plant17,perimeter,719.979790687561,pixels
plant17,width,175,pixels
plant17,height,168,pixels
plant17,longest_path,1275,pixels
plant17,center_of_mass,1115.0539161748525,x
plant17,center_of_mass,301.7960388116435,y
plant17,convex_hull_vertices,35,none
plant17,object_in_frame,1,none
plant17,ellipse_center,1115.367919921875,x
plant17,ellipse_center,302.3968811035156,y
plant17,ellipse_major_axis,171.35903930664062,pixels
plant17,ellipse_minor_axis,154.9600372314453,pixels
plant17,ellipse_angle,105.07054138183594,degrees
plant17,ellipse_eccentricity,0.42689682358262615,none
plant18,in_bounds,1,none
plant18,area,43762.0,pixels
plant18,convex_hull_area,65729.0,pixels
plant18,solidity,0.6657943982108354,none
plant18,perimeter,2265.188489794731,pixels
plant18,width,338,pixels
plant18,height,332,pixels
plant18,longest_path,2713,pixels
plant18,center_of_mass,1204.1582423106804,x
plant18,center_of_mass,213.88855628170558,y
plant18,convex_hull_vertices,39,none
plant18,object_in_frame,1,none
plant18,ellipse_center,1206.1392822265625,x
plant18,ellipse_center,210.92164611816406,y
plant18,ellipse_major_axis,387.2623596191406,pixels
plant18,ellipse_minor_axis,189.40126037597656,pixels
plant18,ellipse_angle,44.925559997558594,degrees
plant18,ellipse_eccentricity,0.8722404003290087,none
plant19,in_bounds,1,none
plant19,area,21298.0,pixels
plant19,convex_hull_area,25487.0,pixels
plant19,solidity,0.8356416996900381,none
plant19,perimeter,943.8646459579468,pixels
plant19,width,192,pixels
plant19,height,180,pixels
plant19,longest_path,1347,pixels
plant19,center_of_mass,1440.328387642032,x
plant19,center_of_mass,304.38787679594327,y
plant19,convex_hull_vertices,37,none
plant19,object_in_frame,1,none
plant19,ellipse_center,1439.233154296875,x
plant19,ellipse_center,305.3710632324219,y
plant19,ellipse_major_axis,181.26327514648438,pixels
plant19,ellipse_minor_axis,166.10076904296875,pixels
plant19,ellipse_angle,99.06784057617188,degrees
plant19,ellipse_eccentricity,0.4003760612240756,none
plant20,in_bounds,1,none
plant20,area,49885.0,pixels
plant20,convex_hull_area,71503.0,pixels
plant20,solidity,0.6976630351174077,none
plant20,perimeter,2212.317070007324,pixels
plant20,width,386,pixels
plant20,height,356,pixels
plant20,longest_path,3009,pixels
plant20,center_of_mass,1540.6120076175202,x
plant20,center_of_mass,211.05893555176908,y
plant20,convex_hull_vertices,30,none
plant20,object_in_frame,1,none
plant20,ellipse_center,1537.2061767578125,x
plant20,ellipse_center,210.8053741455078,y
plant20,ellipse_major_axis,459.11968994140625,pixels
plant20,ellipse_minor_axis,182.0660858154297,pixels
plant20,ellipse_angle,48.08106231689453,degrees
plant20,ellipse_eccentricity,0.9180110806288582,none
plant21,in_bounds,1,none
plant21,area,22480.0,pixels
plant21,convex_hull_area,27905.0,pixels
plant21,solidity,0.8055903959863824,none
plant21,perimeter,891.5188946723938,pixels
plant21,width,213,pixels
plant21,height,175,pixels
plant21,longest_path,1511,pixels
plant21,center_of_mass,1791.1954181494661,x
plant21,center_of_mass,305.6689946619217,y
plant21,convex_hull_vertices,25,none
plant21,object_in_frame,1,none
plant21,ellipse_center,1792.411376953125,x
plant21,ellipse_center,307.2773742675781,y
plant21,ellipse_major_axis,204.41607666015625,pixels
plant21,ellipse_minor_axis,150.55731201171875,pixels
plant21,ellipse_angle,75.82133483886719,degrees
plant21,ellipse_eccentricity,0.6764115947868309,none
plant23,in_bounds,1,none
plant23,area,22707.0,pixels
plant23,convex_hull_area,26755.0,pixels
plant23,solidity,0.848701177350028,none
plant23,perimeter,755.6538897752762,pixels
plant23,width,214,pixels
plant23,height,178,pixels
plant23,longest_path,1490,pixels
plant23,center_of_mass,298.5693398511472,x
plant23,center_of_mass,465.0353195049985,y
