sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,467.0,pixels
plant0,convex_hull_area,629.0,pixels
plant0,solidity,0.7424483306836248,none
plant0,perimeter,152.2670258283615,pixels
plant0,width,29,pixels
plant0,height,27,pixels
plant0,longest_path,225,pixels
plant0,center_of_mass,182.4796573875803,x
plant0,center_of_mass,139.47751605995717,y
plant0,convex_hull_vertices,15,none
plant0,object_in_frame,1,none
plant0,ellipse_center,183.3344268798828,x
plant0,ellipse_center,139.4542999267578,y
plant0,ellipse_major_axis,30.203388214111328,pixels
plant0,ellipse_minor_axis,24.42873764038086,pixels
plant0,ellipse_angle,90.62698364257812,degrees
plant0,ellipse_eccentricity,0.5880730000707095,none
plant1,in_bounds,1,none
plant1,area,11257.0,pixels
plant1,convex_hull_area,12595.5,pixels
plant1,solidity,0.8937318883728316,none
plant1,perimeter,498.5168067216873,pixels
plant1,width,149,pixels
plant1,height,120,pixels
plant1,longest_path,1072,pixels
plant1,center_of_mass,314.1714488762548,x
plant1,center_of_mass,131.74176068224216,y
plant1,convex_hull_vertices,32,none
plant1,object_in_frame,1,none
plant1,ellipse_center,314.7297668457031,x
plant1,ellipse_center,131.30860900878906,y
plant1,ellipse_major_axis,142.27037048339844,pixels
plant1,ellipse_minor_axis,107.43451690673828,pixels
plant1,ellipse_angle,103.78872680664062,degrees
plant1,ellipse_eccentricity,0.6555597593523083,none
plant3,in_bounds,1,none
plant3,area,9664.0,pixels
plant3,convex_hull_area,11070.5,pixels
plant3,solidity,0.872950634569351,none
plant3,perimeter,473.9310202598572,pixels
plant3,width,130,pixels
plant3,height,128,pixels
plant3,longest_path,868,pixels
plant3,center_of_mass,643.0864031456954,x
plant3,center_of_mass,134.83216059602648,y
plant3,convex_hull_vertices,28,none
plant3,object_in_frame,1,none
plant3,ellipse_center,642.0723266601562,x
plant3,ellipse_center,135.1378631591797,y
plant3,ellipse_major_axis,128.0612335205078,pixels
plant3,ellipse_minor_axis,106.12771606445312,pixels
plant3,ellipse_angle,131.63844299316406,degrees
plant3,ellipse_eccentricity,0.559654062833359,none
plant5,in_bounds,1,none
plant5,area,12319.0,pixels
plant5,convex_hull_area,14322.0,pixels
plant5,solidity,0.860145231112973,none
plant5,perimeter,561.7716399431229,pixels
plant5,width,139,pixels
plant5,height,145,pixels
plant5,longest_path,953,pixels
plant5,center_of_mass,959.307898368374,x
plant5,center_of_mass,143.2577319587629,y
plant5,convex_hull_vertices,30,none
plant5,object_in_frame,1,none
plant5,ellipse_center,959.0021362304688,x
plant5,ellipse_center,143.25428771972656,y
plant5,ellipse_major_axis,135.82852172851562,pixels
plant5,ellipse_minor_axis,122.69367218017578,pixels
plant5,ellipse_angle,12.737055778503418,degrees
plant5,ellipse_eccentricity,0.42901304064938084,none
plant7,in_bounds,1,none
plant7,area,13034.0,pixels
plant7,convex_hull_area,15685.0,pixels
plant7,solidity,0.8309850175326745,none
plant7,perimeter,645.9554054737091,pixels
plant7,width,127,pixels
plant7,height,148,pixels
plant7,longest_path,1073,pixels
plant7,center_of_mass,1282.8861439312568,x
plant7,center_of_mass,144.06590455731165,y
plant7,convex_hull_vertices,29,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1282.69677734375,x
plant7,ellipse_center,142.2939453125,y
plant7,ellipse_major_axis,144.2057647705078,pixels
plant7,ellipse_minor_axis,128.42420959472656,pixels
