sample,trait,value,label
plant1,in_bounds,1,none
plant1,area,20296.0,pixels
plant1,convex_hull_area,21903.0,pixels
plant1,solidity,0.9266310551066064,none
plant1,perimeter,651.7716399431229,pixels
plant1,width,170,pixels
plant1,height,171,pixels
plant1,longest_path,1241,pixels
plant1,center_of_mass,290.3333169097359,x
plant1,center_of_mass,146.5983445013796,y
plant1,convex_hull_vertices,36,none
plant1,object_in_frame,1,none
plant1,ellipse_center,291.345703125,x
plant1,ellipse_center,145.98094177246094,y
plant1,ellipse_major_axis,174.0972137451172,pixels
plant1,ellipse_minor_axis,148.9792022705078,pixels
plant1,ellipse_angle,137.24351501464844,degrees
plant1,ellipse_eccentricity,0.5174321800336249,none
plant3,in_bounds,1,none
plant3,area,25976.0,pixels
plant3,convex_hull_area,29078.5,pixels
plant3,solidity,0.893306050862321,none
plant3,perimeter,751.4112491607666,pixels
plant3,width,203,pixels
plant3,height,201,pixels
plant3,longest_path,1356,pixels
plant3,center_of_mass,624.4175007699415,x
plant3,center_of_mass,144.29072990452727,y
plant3,convex_hull_vertices,33,none
plant3,object_in_frame,1,none
plant3,ellipse_center,624.29150390625,x
plant3,ellipse_center,144.6755828857422,y
plant3,ellipse_major_axis,194.8785400390625,pixels
plant3,ellipse_minor_axis,178.06011962890625,pixels
plant3,ellipse_angle,122.01302337646484,degrees
plant3,ellipse_eccentricity,0.4063940001954011,none
plant4,in_bounds,1,none
plant4,area,25827.0,pixels
plant4,convex_hull_area,29078.5,pixels
plant4,solidity,0.8881819901301649,none
plant4,perimeter,751.4112491607666,pixels
plant4,width,203,pixels
plant4,height,201,pixels
plant4,longest_path,1356,pixels
plant4,center_of_mass,624.5024973864561,x
plant4,center_of_mass,144.35052464475163,y
plant4,convex_hull_vertices,33,none
plant4,object_in_frame,1,none
plant4,ellipse_center,624.29150390625,x
plant4,ellipse_center,144.6755828857422,y
plant4,ellipse_major_axis,194.8785400390625,pixels
plant4,ellipse_minor_axis,178.06011962890625,pixels
plant4,ellipse_angle,122.01302337646484,degrees
plant4,ellipse_eccentricity,0.4063940001954011,none
plant5,in_bounds,1,none
plant5,area,22203.0,pixels
plant5,convex_hull_area,24974.5,pixels
plant5,solidity,0.8890268073434904,none
plant5,perimeter,687.6122596263885,pixels
plant5,width,166,pixels
plant5,height,202,pixels
plant5,longest_path,1394,pixels
plant5,center_of_mass,950.9722560014412,x
plant5,center_of_mass,137.6656307706166,y
plant5,convex_hull_vertices,35,none
plant5,object_in_frame,1,none
plant5,ellipse_center,951.0919189453125,x
plant5,ellipse_center,137.42758178710938,y
plant5,ellipse_major_axis,191.63450622558594,pixels
plant5,ellipse_minor_axis,155.33309936523438,pixels
plant5,ellipse_angle,13.19959545135498,degrees
plant5,ellipse_eccentricity,0.5856423581927139,none
plant6,in_bounds,1,none
plant6,area,22009.0,pixels
plant6,convex_hull_area,24974.5,pixels
plant6,solidity,0.881258884061743,none
plant6,perimeter,979.4172921180725,pixels
plant6,width,166,pixels
plant6,height,202,pixels
plant6,longest_path,1394,pixels
plant6,center_of_mass,950.9742832477623,x
plant6,center_of_mass,137.73320005452314,y
plant6,convex_hull_vertices,35,none
plant6,object_in_frame,1,none
plant6,ellipse_center,951.0746459960938,x
plant6,ellipse_center,138.58189392089844,y
plant6,ellipse_major_axis,191.02734375,pixels
plant6,ellipse_minor_axis,154.73165893554688,pixels
plant6,ellipse_angle,13.497673988342285,degrees
plant6,ellipse_eccentricity,0.5864334158246902,none
plant7,in_bounds,1,none
plant7,area,25760.0,pixels
plant7,convex_hull_area,28648.0,pixels
plant7,solidity,0.8991901703434795,none
plant7,perimeter,993.2340506315231,pixels
plant7,width,184,pixels
plant7,height,211,pixels
plant7,longest_path,1448,pixels
plant7,center_of_mass,1283.9279891304348,x
plant7,center_of_mass,132.01684782608694,y
plant7,convex_hull_vertices,28,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1282.9752197265625,x
plant7,ellipse_center,133.34762573242188,y
plant7,ellipse_major_axis,201.31825256347656,pixels
plant7,ellipse_minor_axis,168.99868774414062,pixels
plant7,ellipse_angle,19.239233016967773,degrees
plant7,ellipse_eccentricity,0.5434209656565243,none
plant8,in_bounds,1,none
plant8,area,25705.0,pixels
plant8,convex_hull_area,28648.0,pixels
plant8,solidity,0.8972703155543145,none
plant8,perimeter,1029.0891159772873,pixels
plant8,width,184,pixels
plant8,height,211,pixels
plant8,longest_path,1448,pixels
plant8,center_of_mass,1283.939272515075,x
plant8,center_of_mass,132.0493289243338,y
plant8,convex_hull_vertices,28,none
plant8,object_in_frame,1,none
plant8,ellipse_center,1282.9710693359375,x
plant8,ellipse_center,134.402587890625,y
plant8,ellipse_major_axis,200.661376953125,pixels
plant8,ellipse_minor_axis,168.98416137695312,pixels
plant8,ellipse_angle,19.924827575683594,degrees
plant8,ellipse_eccentricity,0.5392652634443806,none
plant9,in_bounds,1,none
plant9,area,27260.0,pixels
plant9,convex_hull_area,29992.0,pixels
plant9,solidity,0.9089090424113097,none
plant9,perimeter,782.7077125310898,pixels
plant9,width,199,pixels
plant9,height,196,pixels
plant9,longest_path,1555,pixels
plant9,center_of_mass,1618.4139031548057,x
plant9,center_of_mass,127.16368305209097,y
plant9,convex_hull_vertices,33,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1618.1510009765625,x
plant9,ellipse_center,126.51174926757812,y
plant9,ellipse_major_axis,203.6660614013672,pixels
plant9,ellipse_minor_axis,175.08892822265625,pixels
plant9,ellipse_angle,46.02180480957031,degrees
plant9,ellipse_eccentricity,0.510822297370035,none
plant10,in_bounds,1,none
plant10,area,27247.0,pixels
plant10,convex_hull_area,29992.0,pixels
plant10,solidity,0.9084755934915978,none
plant10,perimeter,782.7077125310898,pixels
plant10,width,199,pixels
plant10,height,196,pixels
plant10,longest_path,1555,pixels
plant10,center_of_mass,1618.4357543949793,x
plant10,center_of_mass,127.14853011340698,y
plant10,convex_hull_vertices,33,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1618.1510009765625,x
