sample,trait,value,label
plant0,in_bounds,1,none
plant0,area,1050.0,pixels
plant0,convex_hull_area,1317.5,pixels
plant0,solidity,0.7969639468690702,none
plant0,perimeter,175.82337474822998,pixels
plant0,width,49,pixels
plant0,height,40,pixels
plant0,longest_path,307,pixels
plant0,center_of_mass,135.7590476190476,x
plant0,center_of_mass,162.35333333333332,y
plant0,convex_hull_vertices,15,none
plant0,object_in_frame,1,none
plant0,ellipse_center,137.03260803222656,x
plant0,ellipse_center,162.13128662109375,y
plant0,ellipse_major_axis,45.10117721557617,pixels
plant0,ellipse_minor_axis,39.002052307128906,pixels
plant0,ellipse_angle,81.39753723144531,degrees
plant0,ellipse_eccentricity,0.5021716862552522,none
plant1,in_bounds,1,none
plant1,area,1083.0,pixels
plant1,convex_hull_area,1239.5,pixels
plant1,solidity,0.8737394110528439,none
plant1,perimeter,162.36753106117249,pixels
plant1,width,50,pixels
plant1,height,35,pixels
plant1,longest_path,317,pixels
plant1,center_of_mass,310.6528162511542,x
plant1,center_of_mass,160.91320406278854,y
plant1,convex_hull_vertices,16,none
plant1,object_in_frame,1,none
plant1,ellipse_center,311.4876708984375,x
plant1,ellipse_center,161.29150390625,y
plant1,ellipse_major_axis,49.57424545288086,pixels
plant1,ellipse_minor_axis,30.39787483215332,pixels
plant1,ellipse_angle,98.10791015625,degrees
plant1,ellipse_eccentricity,0.7899441730113207,none
plant2,in_bounds,1,none
plant2,area,1313.0,pixels
plant2,convex_hull_area,1534.0,pixels
plant2,solidity,0.8559322033898306,none
plant2,perimeter,212.20815074443817,pixels
plant2,width,54,pixels
plant2,height,43,pixels
plant2,longest_path,383,pixels
plant2,center_of_mass,469.73267326732673,x
plant2,center_of_mass,163.73191165270373,y
plant2,convex_hull_vertices,20,none
plant2,object_in_frame,1,none
plant2,ellipse_center,469.5824279785156,x
plant2,ellipse_center,163.95765686035156,y
plant2,ellipse_major_axis,48.794715881347656,pixels
plant2,ellipse_minor_axis,39.443092346191406,pixels
plant2,ellipse_angle,105.8222427368164,degrees
plant2,ellipse_eccentricity,0.5887054685678133,none
plant3,in_bounds,1,none
plant3,area,1484.0,pixels
plant3,convex_hull_area,1983.5,pixels
plant3,solidity,0.7481724224855054,none
plant3,perimeter,248.20815074443817,pixels
plant3,width,47,pixels
plant3,height,61,pixels
plant3,longest_path,425,pixels
plant3,center_of_mass,629.6563342318059,x
plant3,center_of_mass,163.2742587601078,y
plant3,convex_hull_vertices,18,none
plant3,object_in_frame,1,none
plant3,ellipse_center,628.6531982421875,x
plant3,ellipse_center,161.18551635742188,y
plant3,ellipse_major_axis,59.63521957397461,pixels
plant3,ellipse_minor_axis,39.297142028808594,pixels
plant3,ellipse_angle,150.96429443359375,degrees
plant3,ellipse_eccentricity,0.7521791916527716,none
plant4,in_bounds,1,none
plant4,area,1061.0,pixels
plant4,convex_hull_area,1451.0,pixels
plant4,solidity,0.7312198483804273,none
plant4,perimeter,229.62236428260803,pixels
plant4,width,48,pixels
plant4,height,47,pixels
plant4,longest_path,334,pixels
plant4,center_of_mass,791.7163053722903,x
plant4,center_of_mass,151.42318567389256,y
plant4,convex_hull_vertices,17,none
plant4,object_in_frame,1,none
plant4,ellipse_center,791.8634643554688,x
plant4,ellipse_center,150.4051971435547,y
plant4,ellipse_major_axis,42.2718620300293,pixels
plant4,ellipse_minor_axis,40.394500732421875,pixels
plant4,ellipse_angle,45.90106201171875,degrees
plant4,ellipse_eccentricity,0.29470463516356543,none
plant5,in_bounds,1,none
plant5,area,1953.0,pixels
plant5,convex_hull_area,2369.5,pixels
plant5,solidity,0.8242245199409158,none
plant5,perimeter,261.5634891986847,pixels
plant5,width,58,pixels
plant5,height,66,pixels
plant5,longest_path,452,pixels
