sample,trait,value,label
plant1,in_bounds,1,none
plant1,area,2188.0,pixels
plant1,convex_hull_area,2657.5,pixels
plant1,solidity,0.8233301975540922,none
plant1,perimeter,292.2497808933258,pixels
plant1,width,65,pixels
plant1,height,63,pixels
plant1,longest_path,466,pixels
plant1,center_of_mass,308.63756855575866,x
plant1,center_of_mass,150.32769652650822,y
plant1,convex_hull_vertices,23,none
plant1,object_in_frame,1,none
plant1,ellipse_center,309.73583984375,x
plant1,ellipse_center,150.26609802246094,y
plant1,ellipse_major_axis,68.15824890136719,pixels
plant1,ellipse_minor_axis,46.785545349121094,pixels
plant1,ellipse_angle,130.35438537597656,degrees
plant1,ellipse_eccentricity,0.7272003366925676,none
plant3,in_bounds,1,none
plant3,area,3606.0,pixels
plant3,convex_hull_area,4013.0,pixels
plant3,solidity,0.8985796162471966,none
plant3,perimeter,305.4213538169861,pixels
plant3,width,68,pixels
plant3,height,76,pixels
plant3,longest_path,627,pixels
plant3,center_of_mass,626.1636161952301,x
plant3,center_of_mass,152.79866888519135,y
plant3,convex_hull_vertices,25,none
plant3,object_in_frame,1,none
plant3,ellipse_center,625.8660888671875,x
plant3,ellipse_center,153.36135864257812,y
plant3,ellipse_major_axis,74.25372314453125,pixels
plant3,ellipse_minor_axis,63.573917388916016,pixels
plant3,ellipse_angle,148.44317626953125,degrees
plant3,ellipse_eccentricity,0.5166918404370612,none
plant5,in_bounds,1,none
plant5,area,4083.0,pixels
plant5,convex_hull_area,4470.0,pixels
plant5,solidity,0.9134228187919463,none
plant5,perimeter,297.66399443149567,pixels
plant5,width,72,pixels
plant5,height,94,pixels
plant5,longest_path,675,pixels
plant5,center_of_mass,953.3039431790351,x
plant5,center_of_mass,146.7687974528533,y
plant5,convex_hull_vertices,30,none
plant5,object_in_frame,1,none
plant5,ellipse_center,953.2923583984375,x
plant5,ellipse_center,146.61544799804688,y
plant5,ellipse_major_axis,82.52218627929688,pixels
plant5,ellipse_minor_axis,65.07742309570312,pixels
plant5,ellipse_angle,4.8210530281066895,degrees
plant5,ellipse_eccentricity,0.614899893513081,none
plant7,in_bounds,1,none
plant7,area,3950.0,pixels
plant7,convex_hull_area,4774.0,pixels
plant7,solidity,0.8273984080435693,none
plant7,perimeter,336.97770273685455,pixels
plant7,width,80,pixels
plant7,height,89,pixels
plant7,longest_path,639,pixels
plant7,center_of_mass,1273.6984810126582,x
plant7,center_of_mass,146.73316455696204,y
plant7,convex_hull_vertices,22,none
plant7,object_in_frame,1,none
plant7,ellipse_center,1274.1005859375,x
plant7,ellipse_center,147.88827514648438,y
plant7,ellipse_major_axis,79.92171478271484,pixels
plant7,ellipse_minor_axis,69.87224578857422,pixels
plant7,ellipse_angle,32.63184356689453,degrees
plant7,ellipse_eccentricity,0.4854605188429787,none
plant9,in_bounds,1,none
plant9,area,3008.0,pixels
plant9,convex_hull_area,3825.5,pixels
plant9,solidity,0.786302444124951,none
plant9,perimeter,308.2497808933258,pixels
plant9,width,90,pixels
plant9,height,62,pixels
plant9,longest_path,616,pixels
plant9,center_of_mass,1604.0625,x
plant9,center_of_mass,141.62632978723406,y
plant9,convex_hull_vertices,21,none
plant9,object_in_frame,1,none
plant9,ellipse_center,1604.2664794921875,x
plant9,ellipse_center,142.15341186523438,y
plant9,ellipse_major_axis,82.59017181396484,pixels
plant9,ellipse_minor_axis,55.230594635009766,pixels
plant9,ellipse_angle,91.6696548461914,degrees
plant9,ellipse_eccentricity,0.7435045857993253,none
plant10,in_bounds,1,none
plant10,area,102.0,pixels
plant10,convex_hull_area,135.0,pixels
plant10,solidity,0.7555555555555555,none
plant10,perimeter,54.870057225227356,pixels
plant10,width,17,pixels
plant10,height,13,pixels
plant10,longest_path,109,pixels
plant10,center_of_mass,1739.2745098039215,x
plant10,center_of_mass,152.85294117647058,y
plant10,convex_hull_vertices,11,none
plant10,object_in_frame,1,none
plant10,ellipse_center,1739.27294921875,x
plant10,ellipse_center,152.9445343017578,y
plant10,ellipse_major_axis,15.45136547088623,pixels
plant10,ellipse_minor_axis,10.999656677246094,pixels
plant10,ellipse_angle,76.59795379638672,degrees
plant10,ellipse_eccentricity,0.7022920275047446,none
