,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
0,plant0,TRUE,1595,1859,0.857988166,199.92388,57,50,456,"(126.682131661442, 119.86583072100314)",20,TRUE,"(125.20914459228516, 119.26637268066406)",64.38764954,36.8553009,125.2516403,0.819976593,55,55,100
1,plant1,TRUE,1880,2143.5,0.877070212,226.5512966,61,48,459,"(280.6909574468085, 121.71117021276596)",19,TRUE,"(280.373046875, 121.35045623779297)",64.10806274,40.48679352,116.4522705,0.775343455,55,55,100
2,plant2,TRUE,1287,1388,0.927233429,163.3380935,50,43,364,"(448.5959595959596, 131.17715617715618)",20,TRUE,"(448.32861328125, 131.4290008544922)",47.78543854,35.9407959,124.3652725,0.659016343,55,55,100
3,plant3,TRUE,1444,1511,0.955658504,163.6812394,48,48,378,"(605.1606648199446, 132.60249307479225)",23,TRUE,"(605.1646118164062, 132.59036254882812)",51.14289856,36.03809738,136.4396667,0.709550126,55,55,100
4,plant4,TRUE,1682,1835,0.916621253,179.7817446,53,51,377,"(762.936385255648, 133.50713436385254)",20,TRUE,"(763.1338500976562, 133.22169494628906)",49.45555115,47.76214218,103.0281601,0.259440957,55,55,100
5,plant5,TRUE,1078,1076,1.001858736,127.7401145,40,36,278,"(920.0862708719851, 139.05102040816325)",19,TRUE,"(920.0716552734375, 139.04202270507812)",39.42919159,34.45460892,99.92475128,0.486222517,55,55,100
6,plant6,TRUE,1268,1316,0.963525836,165.92388,44,47,321,"(1073.160094637224, 144.3801261829653)",18,TRUE,"(1072.6480712890625, 144.15220642089844)",48.00408173,35.98022079,147.0552063,0.661976947,55,55,100
7,plant7,TRUE,1354,1436,0.942896936,156.7106769,48,47,339,"(1237.3589364844904, 137.40915805022158)",21,TRUE,"(1237.45654296875, 137.28890991210938)",50.80853271,34.42523193,49.44928741,0.735478336,55,55,100
8,plant8,TRUE,1457,1631.5,0.893043212,180.2670258,50,46,387,"(1397.1606039807825, 137.92244337680165)",20,TRUE,"(1397.480712890625, 137.64505004882812)",50.79362488,39.02717972,59.62134171,0.640032313,55,55,100
9,plant9,TRUE,1277,1416.5,0.901517826,165.0954529,49,42,345,"(1558.0916209866875, 139.64212999216915)",22,TRUE,"(1558.693115234375, 139.2785186767578)",45.59127808,37.52615356,80.10739136,0.567897332,55,55,100
