,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
0,plant0,True,1424.0,1658.5,0.8586071751582756,199.23758828639984,55,40,444,"(105.17345505617978, 118.02808988764045)",18,True,"(104.18855285644531, 117.61619567871094)",56.63164520263672,35.46809768676758,110.81905364990234,0.77958641802313,55,55,100.0
1,plant1,True,1919.0,2197.0,0.8734638142922166,245.0365778207779,64,50,484,"(265.8692027097447, 119.27566440854612)",21,True,"(266.1359558105469, 119.44332885742188)",68.1259536743164,38.50349044799805,119.5553970336914,0.8249669729883972,55,55,100.0
2,plant2,True,1156.0,1300.5,0.8888888888888888,172.5096664428711,48,41,359,"(436.1764705882353, 128.54584775086505)",20,True,"(436.2371520996094, 128.3028106689453)",49.82129669189453,30.455827713012695,120.2938232421875,0.7913978870629622,55,55,100.0
3,plant3,True,1274.0,1373.0,0.9278951201747997,198.89444243907928,48,42,379,"(594.5188383045526, 131.37048665620094)",26,True,"(594.7337036132812, 131.46142578125)",48.93022918701172,32.30339050292969,127.42574310302734,0.751096078171523,55,55,100.0
4,plant4,True,1550.0,1771.0,0.8752117447769622,212.6518018245697,52,51,350,"(753.9883870967742, 131.5)",18,True,"(754.2396240234375, 130.22227478027344)",49.63966369628906,45.51137924194336,77.89323425292969,0.3992663899172245,55,55,100.0
5,plant5,True,964.0,1019.5,0.9455615497793036,148.71067690849304,40,35,280,"(912.0767634854772, 137.2863070539419)",17,True,"(911.9275512695312, 137.48594665527344)",38.05268096923828,32.78350830078125,93.85852813720703,0.5077074661622439,55,55,100.0
6,plant6,True,1083.0,1129.0,0.9592559787422498,162.2670258283615,36,43,287,"(1067.100646352724, 140.72853185595568)",18,True,"(1067.26953125, 140.775146484375)",43.06472396850586,32.7155876159668,168.81382751464844,0.6502922524953726,55,55,100.0
7,plant7,True,1315.0,1453.0,0.9050240880935995,179.68123936653137,49,49,354,"(1229.0768060836501, 136.0425855513308)",21,True,"(1228.975830078125, 136.20346069335938)",52.1345100402832,33.67824935913086,46.79435348510742,0.7633478647587684,55,55,100.0
8,plant8,True,1431.0,1670.5,0.8566297515713858,201.23758828639984,51,45,382,"(1388.9832285115303, 135.68413696715584)",20,True,"(1388.6893310546875, 135.83485412597656)",52.13229751586914,38.0041389465332,62.335994720458984,0.6845199459143263,55,55,100.0
9,plant9,True,1308.0,1548.5,0.8446884081369067,212.6518018245697,52,46,363,"(1548.737003058104, 137.664373088685)",19,True,"(1549.3690185546875, 136.9602813720703)",48.28208923339844,37.79536056518555,70.86306762695312,0.622269703776153,55,55,100.0
10,plant10,True,1483.0,1965.5,0.7545153904858815,275.2792184352875,72,41,510,"(1720.4571813890761, 138.19217801753203)",18,True,"(1718.9530029296875, 138.70188903808594)",73.91556549072266,29.896352767944336,72.11492919921875,0.9145529179477537,55,55,100.0
11,plant11,True,2241.0,2751.5,0.8144648373614393,288.59292674064636,74,48,492,"(99.62025881302989, 280.35430611334226)",23,True,"(99.74583435058594, 280.4566345214844)",70.884033203125,44.314456939697266,87.16508483886719,0.7804898998045361,55,55,100.0
12,plant12,True,1487.0,1771.5,0.8394016370307649,208.16652059555054,66,41,454,"(273.2138533960995, 284.39609952925355)",21,True,"(273.8638610839844, 284.240234375)",65.4748306274414,33.26676559448242,98.57080841064453,0.8613070566208852,55,55,100.0
13,plant13,True,2179.0,2562.0,0.8505074160811865,253.27921843528748,70,54,490,"(431.2455254703993, 281.68655346489214)",24,True,"(430.66522216796875, 282.47235107421875)",68.2776870727539,45.477325439453125,114.7939453125,0.7458943854420809,55,55,100.0
14,plant14,True,1243.0,1353.5,0.9183598079054304,181.09545290470123,46,40,318,"(598.9782783588093, 289.15848753016894)",20,True,"(598.6867065429688, 289.3919982910156)",43.72624206542969,35.644535064697266,117.69493865966797,0.5792148825020915,55,55,100.0
15,plant15,True,1036.0,1208.5,0.8572610674389739,154.95331752300262,41,41,296,"(753.5028957528957, 292.9623552123552)",19,True,"(754.1234130859375, 293.2603454589844)",41.919063568115234,35.561466217041016,36.42963790893555,0.529457650339015,55,55,100.0
16,plant16,True,1250.0,1309.5,0.9545628102329133,168.75230705738068,42,48,301,"(911.816, 293.952)",18,True,"(911.2310180664062, 294.3147277832031)",48.23603820800781,34.58012390136719,30.092878341674805,0.6971822332030602,55,55,100.0
17,plant17,True,1414.0,1590.5,0.8890286073561773,195.23758828639984,51,44,364,"(1068.426449787836, 294.41654879773694)",16,True,"(1068.1114501953125, 294.1403503417969)",50.340728759765625,39.57014465332031,116.62046813964844,0.618167599252982,55,55,100.0
18,plant18,True,1119.0,1404.5,0.7967248131007476,204.55129659175873,49,42,380,"(1223.508489722967, 298.0420017873101)",18,True,"(1224.021728515625, 297.76202392578125)",51.52552032470703,32.83908462524414,61.90325927734375,0.7705857752985258,55,55,100.0
19,plant19,True,1746.0,2002.0,0.8721278721278721,241.0365778207779,55,50,413,"(1387.8276059564719, 296.1546391752577)",25,True,"(1387.9896240234375, 295.7696838378906)",55.231998443603516,43.11701583862305,60.29987716674805,0.6249649274233473,55,55,100.0
20,plant20,True,1340.0,1597.0,0.839073262366938,206.40916121006012,56,41,372,"(1543.6783582089552, 299.7835820895522)",16,True,"(1543.509521484375, 299.3471984863281)",51.4127311706543,36.81981658935547,86.891357421875,0.6979346416406701,55,55,100.0
