,height_mm,perimeter,area
0,8.8,784.5655771493912,17129.5
1,8.1,623.0264731645584,14407.5
2,5.4,319.7056245803833,5154.0
3,7.4,477.8305150270462,10225.5
4,8.4,568.156415939331,12583.0
5,10.0,577.8305150270462,17157.5
6,10.9,613.3279888629913,17940.0
7,6.7,437.3036036491394,9197.0
8,6.7,516.9015827178955,11455.0
9,8.9,660.3401814699173,14327.5
10,9.2,639.7127648591995,13578.5
11,9.9,584.1147857904434,15040.5
12,6.2,426.6173119544983,7814.0
13,6.4,507.48736917972565,12788.5
14,6.4,411.4041088819504,6106.5
15,11.1,602.3990565538406,15857.5
16,10.0,639.168608546257,15934.5
17,9.1,474.81832242012024,8422.0
18,4.8,411.8477599620819,7324.0
19,7.8,635.269113779068,13304.0
20,8.4,547.6295045614243,10074.5
21,10.0,640.5411919355392,11287.5
22,7.2,504.8599525690079,7963.5
23,8.7,604.0142805576324,8957.0
24,7.8,478.55843687057495,10569.0
25,5.7,364.04877042770386,4531.0
26,8.2,554.457931637764,7141.5
