,height_mm,perimeter,area
0,1.9,212.7939372062683,1471.0
1,3.3,225.9655101299286,1944.0
2,1.2,196.75230705738068,1029.5
3,1.6,172.02438521385193,1500.0
4,1.8,180.85281229019165,1564.0
5,1.0,121.9827550649643,841.5
6,1.4,172.71067690849304,1263.0
7,1.6,167.09545290470123,1213.5
8,1.9,180.5096664428711,1202.0
9,2.1,191.09545290470123,1169.5
10,2.7,176.36753106117249,1096.0
11,3.1,251.13708305358887,2165.0
12,2.1,199.88224983215332,1403.0
13,3.2,247.52185904979706,2452.5
14,1.6,151.29646337032318,1240.5
15,1.3,138.911687374115,1019.0
16,0.8,144.36753106117249,1204.0
17,1.5,180.75230705738068,1497.5
18,1.5,182.5096664428711,1075.0
19,2.4,184.99494767189026,1737.0
20,2.3,156.71067690849304,1211.0
21,3.3,199.82337474822998,1429.0
22,3.2,180.5096664428711,1658.0
23,2.5,225.33809351921082,1849.0
24,1.4,201.48022890090942,1267.0
25,0.8,124.81118214130402,713.5
26,1.7,140.71067690849304,1138.0
27,0.5,167.53910398483276,1425.0
28,1.3,119.39696860313416,876.0
29,1.0,121.9827550649643,718.5
30,2.1,182.02438521385193,1173.0
31,3.4,211.37972366809845,2002.5
32,2.9,250.69343197345734,1782.5
33,2.9,226.30865597724915,1889.0
34,3.1,269.62236428260803,1619.0
35,1.5,137.63960921764374,1013.5
36,2.2,183.5807341337204,1502.5
37,2.0,123.0538227558136,759.0
38,1.0,210.99494767189026,1393.0
39,2.5,194.99494767189026,1619.0
40,2.1,178.5096664428711,1135.0
41,1.9,153.0538227558136,1118.0
42,2.5,143.63960921764374,851.5
43,3.3,177.78174459934235,1237.5
44,3.1,191.68123936653137,1607.0
45,1.2,83.35533845424652,432.5
46,1.8,149.53910398483276,860.0
47,1.5,108.91168737411499,670.0
48,1.7,179.82337474822998,928.0
49,1.6,148.46803629398346,986.5
50,1.2,112.81118214130402,530.5
51,1.0,134.22539567947388,549.0
52,2.7,155.09545290470123,1074.5
53,2.3,147.0538227558136,907.0
54,3.4,180.2670258283615,1166.5
