,height_mm,perimeter,area
0,6.4,462.1320307254791,7789.0
1,5.8,392.43354642391205,6409.5
2,2.1,218.06601536273956,2342.5
3,4.7,433.88939011096954,4932.5
4,5.5,364.0904005765915,5206.5
5,6.7,442.27416610717773,8379.0
6,6.7,462.81832242012024,8143.0
7,3.4,273.52185904979706,3721.5
8,4.1,344.19090580940247,4641.0
9,6.2,438.4751765727997,6808.0
10,6.7,517.6295045614243,6508.5
11,5.7,441.34523379802704,6888.5
12,3.5,301.22034335136414,3552.0
13,3.8,374.43354642391205,6073.5
14,3.8,318.4924215078354,3127.5
15,7.7,494.80107748508453,7523.5
16,6.6,490.1320307254791,7310.0
17,5.2,317.36247873306274,3897.0
18,3.2,261.8650048971176,3195.5
19,5.1,387.26197350025177,6519.5
20,6.0,378.3330411911011,4639.0
21,5.2,506.9015827178955,5196.0
22,4.9,332.14927566051483,2927.5
23,4.9,343.22034335136414,3195.0
24,4.5,366.04877042770386,4677.0
25,3.9,215.82337474822998,2076.0
26,5.4,339.7056245803833,3353.0
