,height_mm,perimeter,area
0,13.1,813.1513636112213,29392.0
1,11.9,642.9259679317474,21550.0
2,7.5,554.7005722522736,13600.0
3,11.9,608.357426404953,17795.0
4,11.4,737.8965303897858,23314.0
5,14.4,763.9970356225967,28480.5
6,15.4,741.4528793096542,29005.5
7,9.2,579.6711347103119,17249.0
8,9.6,826.9503531455994,23825.0
9,14.1,734.2224313020706,24652.5
10,14.8,843.4945094585419,25759.0
11,13.7,695.3107439279556,24834.5
12,9.1,566.4995617866516,16107.0
13,10.1,633.9554054737091,21746.0
14,10.6,548.3990565538406,14088.5
15,14.9,795.4945094585419,26884.0
16,13.8,746.6244522333145,26711.5
17,12.2,657.8549002408981,19684.5
18,8.0,622.9848430156708,16221.0
19,11.4,752.8082177639008,22916.0
20,11.8,653.3279888629913,18205.0
21,14.1,834.6660823822021,25051.0
22,9.6,625.4701242446899,16287.0
23,10.5,657.2274836301804,17181.5
24,11.3,673.0264731645584,20175.5
25,9.0,537.6883796453476,9813.5
26,10.1,687.8965303897858,14938.0
