,height_mm,perimeter,area
0,14.5,876.4478269815445,31845.5
1,12.7,661.168608546257,22285.5
2,8.8,576.0559107065201,14474.5
3,12.7,667.9554054737091,18802.0
4,12.7,745.9381605386734,25111.5
5,16.0,794.4823168516159,29889.5
6,16.2,777.5950146913528,30883.5
7,9.4,579.6711347103119,17158.0
8,10.6,848.6072072982788,24820.0
9,15.3,752.2224313020706,25892.5
10,15.2,885.0508583784103,27692.5
11,14.7,685.8549002408981,26606.5
12,10.7,564.0142805576324,16252.0
13,12.0,671.7960251569748,22797.5
14,11.5,563.2274836301804,14814.5
15,16.1,823.979790687561,29557.0
16,15.0,735.8965303897858,27864.0
17,13.3,647.9970356225967,20798.5
18,8.8,616.256921172142,16616.5
19,12.1,734.5239470005035,23669.0
20,13.1,677.5706294775009,19612.5
21,15.7,849.0508583784103,27122.5
22,9.3,648.7838325500488,17486.0
23,11.6,641.7716399431229,18060.5
24,12.5,693.8549002408981,21396.5
25,8.7,599.7716399431229,10633.5
26,11.0,708.7249574661255,16299.0
