,height_mm,perimeter,area
0,4.6,340.634556889534,2605.5
1,5.0,434.1320307254791,5593.0
2,1.5,241.86500489711761,1772.5
3,3.8,469.445739030838,4205.0
4,5.7,319.76449966430664,3881.0
5,4.0,397.0193328857422,1623.0
6,3.7,251.86500489711761,1205.5
7,5.7,439.4041088819504,5598.5
8,3.0,271.4213538169861,3344.0
9,3.8,318.2497808933258,3989.0
10,5.8,450.4751765727997,5710.0
11,5.8,479.8305150270462,4847.5
12,3.2,225.37972366809845,691.5
13,2.9,220.40916121006012,875.5
14,1.9,271.2792184352875,1408.0
15,4.3,492.7594473361969,3390.0
16,2.7,266.83556735515594,2742.5
17,3.1,287.4213538169861,4139.0
18,3.0,327.22034335136414,5260.0
19,2.7,258.45079135894775,3121.0
20,3.5,262.20815074443817,2685.5
21,5.1,409.36247873306274,3960.0
22,6.5,652.0975408554077,5483.0
23,6.6,634.4406867027283,5731.0
24,2.7,184.85281229019165,913.0
25,4.6,667.168608546257,2584.5
26,4.3,382.57568180561066,2618.5
27,5.2,472.8599525690079,4053.5
28,3.3,248.55129659175873,2600.5
29,3.3,377.88939011096954,4794.5
30,4.2,358.14927566051483,5500.5
31,4.1,397.4041088819504,4228.5
32,4.8,353.4629839658737,4109.5
33,4.5,300.2497808933258,2917.0
34,4.5,483.5878744125366,3954.0
35,3.3,262.69343197345734,960.5
36,2.1,97.25483322143555,582.0
37,3.2,217.68123936653137,1066.0
38,3.9,207.82337474822998,717.0
39,4.4,473.20309841632843,2576.5
40,4.2,357.0193328857422,3375.0
41,4.8,281.76449966430664,2364.0
42,2.3,209.23758828639984,1169.5
43,5.2,376.534051656723,4757.0
44,4.6,326.59292674064636,2123.0
45,4.8,482.80107748508453,2759.5
