,height_mm,perimeter,area
0,14.6,868.6488374471664,35079.5
1,13.6,671.4112491607666,24069.0
2,8.9,651.7543950080872,17004.0
3,12.5,699.8549002408981,21745.5
4,13.6,780.8670928478241,28802.0
5,16.0,805.6122596263885,33537.0
6,16.7,806.9087229967117,33434.5
7,10.3,597.5706294775009,18783.5
8,10.2,871.8792854547501,27967.5
9,16.1,762.7077125310898,28885.5
10,15.8,893.2518688440323,32676.5
11,15.2,710.0975408554077,28592.0
12,12.3,571.9137753248215,17725.5
13,12.4,681.3107439279556,25148.5
14,12.4,593.9554054737091,17647.0
15,17.0,1694.7880084514618,66426.0
16,16.4,744.5828220844269,29376.0
17,13.5,713.8965303897858,23585.0
18,8.9,632.3990565538406,18656.5
19,13.1,752.080295920372,25280.5
20,14.2,722.6833273172379,22535.5
21,11.1,666.5411919355392,19818.5
22,12.0,653.3279888629913,20391.0
23,11.9,691.4112491607666,24099.0
24,10.3,635.8965303897858,13014.0
25,12.8,702.7249574661255,18948.0
