,height_mm,perimeter,area
0,4.9,296.2497808933258,4142.0
1,6.3,403.50461411476135,6605.0
2,5.5,387.7056245803833,6460.0
3,6.7,450.6589421033859,6724.5
4,5.1,496.70057225227356,6631.0
5,7.4,402.8771975040436,6745.0
6,6.9,466.7594473361969,8882.0
7,3.6,380.57568180561066,6373.5
8,5.8,474.2152910232544,8377.0
9,6.1,468.7594473361969,7501.0
10,6.2,545.6295045614243,7254.5
11,6.1,396.0904005765915,5547.5
12,4.7,353.36247873306274,4985.0
13,2.8,328.4924215078354,3741.5
14,4.4,328.97770273685455,3818.5
15,5.9,411.546244263649,6224.5
16,6.7,453.88939011096954,6579.5
17,6.2,401.8477599620819,5004.0
18,5.2,304.2497808933258,3847.0
19,4.0,334.7766922712326,4108.5
20,4.6,362.29141104221344,3994.5
21,6.0,479.78888487815857,6542.0
22,5.1,340.534051656723,2935.0
23,5.3,313.0782079696655,4231.0
24,4.3,329.22034335136414,3470.0
25,5.2,374.3330411911011,4054.0
26,4.7,314.04877042770386,2554.0
