,height_mm,perimeter,area
0,4.6,282.4924215078354,3639.5
1,6.0,381.26197350025177,6315.5
2,5.3,359.8061298131943,5934.5
3,6.3,416.71781718730927,6101.5
4,5.1,476.55843687057495,5675.0
5,6.9,365.8061298131943,6197.5
6,6.4,421.4041088819504,7788.5
7,3.5,320.14927566051483,5426.5
8,4.9,459.8305150270462,7766.5
9,5.4,415.3036036491394,6809.0
10,6.3,514.457931637764,6476.5
11,5.8,426.2325359582901,6122.5
12,5.5,392.29141104221344,4663.5
13,4.6,325.0782079696655,4630.0
14,4.1,337.8061298131943,4493.5
15,2.7,314.3502861261368,4085.5
16,2.3,302.59292674064636,3531.0
17,4.1,354.8771975040436,5347.0
18,3.9,324.97770273685455,3426.5
19,5.1,340.19090580940247,4475.0
20,5.8,386.71781718730927,5433.5
21,5.6,435.9310202598572,6186.0
22,5.8,376.43354642391205,5826.5
23,5.6,341.90663504600525,4720.0
24,5.4,324.59292674064636,4449.0
25,5.2,355.4629839658737,5712.5
26,3.4,287.1787132024765,3611.5
27,2.9,369.74725472927094,4970.5
28,3.2,315.22034335136414,3674.0
29,5.1,357.9482651948929,4800.5
30,3.9,320.634556889534,3503.5
31,4.5,318.3502861261368,3083.5
32,5.3,483.78888487815857,5308.0
33,6.8,519.2863587141037,6667.5
34,4.1,300.3502861261368,2483.5
35,4.5,313.0782079696655,3684.0
36,4.4,294.1076455116272,3472.0
37,4.3,301.90663504600525,4164.0
38,3.7,291.0782079696655,3192.0
39,3.5,240.06601536273956,1845.5
40,5.0,314.14927566051483,2969.5
41,2.1,142.36753106117249,916.0
42,3.8,277.52185904979706,2013.5
43,4.2,396.0904005765915,4385.5
