,height_mm,perimeter,area
0,5.4,359.26197350025177,6005.5
1,7.6,447.78888487815857,8646.0
2,7.8,374.3919162750244,7525.0
3,8.0,525.6711347103119,9266.0
4,6.4,531.7716399431229,8418.5
5,7.5,442.67618703842163,8413.0
6,8.7,532.357426404953,11005.0
7,5.1,412.3746713399887,7790.5
8,6.4,503.3868639469147,10079.0
9,7.7,505.77163994312286,8611.5
10,8.0,618.3990565538406,9095.5
11,7.2,459.48736917972565,7615.5
12,5.3,363.22034335136414,6276.0
13,3.5,407.6051193475723,4999.5
14,5.2,473.24472856521606,4772.0
15,7.0,434.7594473361969,8036.0
16,7.1,482.6173119544983,9039.0
17,7.3,488.03152549266815,7378.5
18,5.7,374.9188276529312,5155.5
19,4.5,386.7766922712326,5333.5
20,5.8,374.634556889534,5384.5
21,7.7,580.0731556415558,8308.0
22,5.6,378.57568180561066,4068.5
23,5.9,434.57568180561066,5914.5
24,5.8,441.78888487815857,4122.0
25,6.1,417.88939011096954,5446.5
26,6.5,323.8061298131943,3945.5
