,height_mm,perimeter,area
0,7.3,507.73000979423523,10298.0
1,9.0,572.4995617866516,16680.0
2,9.3,481.1442233324051,12615.5
3,10.1,659.8549002408981,14123.5
4,9.2,646.3401814699173,16182.5
5,9.3,614.156415939331,15284.0
6,10.2,672.5411919355392,18476.5
7,7.5,535.8305150270462,12243.5
8,8.6,634.5411919355392,16613.5
9,8.8,660.3401814699173,14544.5
10,9.6,707.9554054737091,15339.0
11,9.4,565.0437180995941,13846.0
12,7.3,475.24472856521606,11250.0
13,5.8,515.1442233324051,9906.5
14,6.4,587.6295045614243,9319.5
15,9.7,582.256921172142,13748.5
16,8.6,628.6416971683502,15200.0
17,10.0,587.0437180995941,13610.0
18,6.4,497.9726504087448,10132.5
19,5.8,492.6589421033859,9703.5
20,7.3,471.445739030838,8943.0
21,9.6,613.0853482484818,12868.5
22,7.1,510.17366087436676,8263.5
23,6.3,628.5411919355392,10981.5
24,6.8,521.2863587141037,8528.5
25,7.3,493.48736917972565,10529.5
26,6.9,489.6883796453476,8173.5
