index,plant_id,tray_id,plant_width (px),plant_width(mm),ns_lenght (mm),error_nslenght,plant_height (px),plant_height (mm),we_lenght(mm),error_welenght
76,plant20,2,42,53.85,31.98,21.87,36,46.15,49.21,3.06
77,plant21,2,52,66.67,56.47,10.20,37,47.44,44.44,3.00
78,plant22,2,50,64.10,55.44,8.66,33,42.31,43.89,1.58
79,plant23,2,45,57.69,48.09,9.60,42,53.85,56.1,2.25
80,plant24,2,35,44.87,38.6,6.27,39,50.00,54.59,4.59
81,plant25,2,32,41.03,39.7,1.33,28,35.90,34.33,1.57
82,plant26,2,33,42.31,53.82,11.51,36,46.15,41.67,4.48
83,plant27,2,36,46.15,50.18,4.03,39,50.00,57.58,7.58
84,plant28,2,37,47.44,50.52,3.08,29,37.18,34.74,2.44
85,plant29,2,31,39.74,28.77,10.97,30,38.46,37.23,1.23
86,plant30,2,46,58.97,52.66,6.31,32,41.03,39.89,1.14
87,plant31,2,59,75.64,61.42,14.22,40,51.28,56.8,5.52
88,plant32,2,66,84.62,45.48,39.14,45,57.69,55.51,2.18
89,plant33,2,51,65.38,62.82,2.56,48,61.54,43.53,18.01
90,plant34,2,47,60.26,52.55,7.71,45,57.69,59.86,2.17
91,plant35,2,37,47.44,46.54,0.90,32,41.03,40.97,0.06
92,plant36,2,38,48.72,58.54,9.82,41,52.56,56.28,3.72
93,plant37,2,32,41.03,31.07,9.96,33,42.31,37.74,4.57
94,plant38,2,42,53.85,59.24,5.39,41,52.56,52.35,0.21
95,plant39,2,41,52.56,59.23,6.67,38,48.72,52.32,3.60
96,plant40,2,42,53.85,52.1,1.75,39,50.00,44.5,5.50
97,plant41,2,45,57.69,49.92,7.77,33,42.31,40.84,1.47
98,plant42,2,43,55.13,47.06,8.07,32,41.03,20.1,20.93
99,plant43,2,48,61.54,41.44,20.10,37,47.44,44.2,3.24
100,plant44,2,43,55.13,43.61,11.52,40,51.28,55.78,4.50
101,plant45,2,31,39.74,29.83,9.91,38,48.72,50.37,1.65
102,plant46,2,41,52.56,38.25,14.31,33,42.31,33.74,8.57
103,plant47,2,39,50.00,48.91,1.09,27,34.62,33.14,1.48
104,plant48,2,31,39.74,34.79,4.95,36,46.15,46.17,0.02
105,plant49,2,32,41.03,40.88,0.15,41,52.56,54.7,2.14
106,plant50,2,29,37.18,28.96,8.22,31,39.74,34.55,5.19
107,plant51,2,31,39.74,32.79,6.95,41,52.56,39.01,13.55
108,plant52,2,43,55.13,43.84,11.29,39,50.00,53.45,3.45
109,plant53,2,34,43.59,28.01,15.58,37,47.44,42.05,5.39
110,plant54,2,54,69.23,45.51,23.72,37,47.44,41.88,5.56
111,plant0,3,54,69.23,45.64,23.59,44,56.41,52.95,3.46
112,plant1,3,36,46.15,42.49,3.66,36,46.15,33.23,12.92
113,plant2,3,45,57.69,47.23,10.46,36,46.15,41.51,4.64
114,plant3,3,39,50.00,50.3,0.30,45,57.69,68.83,11.14
115,plant4,3,42,53.85,54.94,1.09,32,41.03,34.76,6.27
116,plant5,3,31,39.74,34.67,5.07,40,51.28,55.27,3.99
117,plant6,3,41,52.56,58.02,5.46,39,50.00,44.13,5.87
118,plant7,3,39,50.00,45.61,4.39,41,52.56,60.96,8.40
119,plant8,3,44,56.41,46.18,10.23,42,53.85,60.53,6.68
120,plant9,3,51,65.38,65.19,0.19,47,60.26,55.75,4.51
121,plant10,3,56,71.79,60.59,11.20,50,64.10,56.54,7.56
122,plant11,3,50,64.10,51.42,12.68,35,44.87,38.78,6.09
123,plant12,3,50,64.10,55.73,8.37,35,44.87,42.38,2.49
124,plant13,3,41,52.56,65.14,12.58,33,42.31,41.43,0.88
125,plant14,3,39,50.00,54.2,4.20,39,50.00,50.45,0.45
126,plant15,3,31,39.74,37.31,2.43,37,47.44,52.71,5.27
127,plant16,3,33,42.31,48.04,5.73,39,50.00,55.13,5.13
128,plant17,3,36,46.15,48.23,2.08,31,39.74,27.44,12.30
129,plant18,3,48,61.54,60.37,1.17,33,42.31,36.91,5.40
