,Date,Unnamed: 0,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
19,2023-02-01,19,plant19,True,1651.0,1925.0,0.8576623376623377,243.0365778207779,53,51,356,"(1376.2095699576014, 297.15748031496065)",20,True,"(1375.7386474609375, 296.75286865234375)",47.77730941772461,46.3372917175293,88.62364196777344,0.2436636409532337,55,55,100.0
20,2023-02-01,20,plant20,True,2065.0,2675.0,0.77196261682243,283.3208485841751,73,55,501,"(1541.3113801452785, 300.3278450363196)",20,True,"(1540.84423828125, 299.4077453613281)",66.70789337158203,48.50981521606445,91.58489227294922,0.6864282584528455,55,55,100.0
21,2023-02-01,21,plant21,True,1645.0,2214.5,0.7428313389026868,279.62236428260803,81,39,557,"(1710.6164133738603, 301.66869300911856)",21,True,"(1707.8399658203125, 300.63214111328125)",80.4126205444336,34.615234375,85.48963928222656,0.9026048046583192,55,55,100.0
22,2023-02-01,22,plant22,True,1673.0,2434.5,0.6872047648387759,270.3502861261368,83,46,557,"(98.92468619246861, 473.64375373580395)",18,True,"(98.80937957763672, 474.1775817871094)",73.73694610595703,38.91756057739258,84.99551391601562,0.8493754213744367,55,55,100.0
23,2023-02-01,23,plant23,True,1261.0,1747.0,0.7218088151116199,237.62236428260803,53,48,410,"(268.781919111816, 474.51387787470264)",17,True,"(266.5113525390625, 473.4788818359375)",52.22729110717773,41.08170700073242,117.79426574707033,0.6174697399306799,55,55,100.0
24,2023-02-01,24,plant24,True,1080.0,1325.5,0.8147868728781592,210.6518018245697,55,36,373,"(435.9240740740741, 468.4259259259259)",19,True,"(435.3843078613281, 468.3759460449219)",49.28176498413086,31.751413345336918,90.37408447265624,0.7647870001448563,55,55,100.0
25,2023-02-01,25,plant25,True,962.0,1165.0,0.8257510729613734,181.82337474823,45,42,331,"(601.6995841995843, 467.4137214137214)",15,True,"(602.1517333984375, 467.6483154296875)",47.16434097290039,31.208356857299805,47.689449310302734,0.7497740851952096,55,55,100.0
26,2023-02-01,26,plant26,True,844.0,1159.5,0.7278999568779646,171.1959581375122,37,47,362,"(754.8637440758293, 464.8045023696682)",17,True,"(754.7593383789062, 464.9981384277344)",48.63309860229492,27.943653106689453,147.32632446289062,0.8184477415575506,55,55,100.0
27,2023-02-01,27,plant27,True,818.0,959.5,0.8525273579989577,155.53910398483276,43,33,295,"(909.7616136919315, 467.68581907090464)",15,True,"(909.6627197265625, 467.83746337890625)",39.64768600463867,29.49004364013672,95.51038360595705,0.6683995836569214,55,55,100.0
28,2023-02-01,28,plant28,True,1248.0,1400.0,0.8914285714285715,199.23758828639984,47,44,368,"(1057.8076923076924, 465.29487179487177)",20,True,"(1057.77783203125, 465.20343017578125)",51.065731048583984,31.296619415283203,50.08427429199219,0.7901842869549599,55,55,100.0
29,2023-02-01,29,plant29,True,828.0,1422.5,0.5820738137082601,320.634556889534,57,33,400,"(1219.6920289855072, 464.78985507246375)",16,True,"(1218.9256591796875, 465.6903381347656)",51.18832015991211,30.001510620117188,102.94283294677734,0.8102382128823373,55,55,100.0
30,2023-02-01,30,plant30,True,1411.0,1857.5,0.7596231493943473,274.2497808933258,61,44,431,"(1378.1800141743445, 459.96881644223953)",17,True,"(1377.9427490234375, 459.6414489746094)",56.99771118164063,37.63665771484375,70.19393920898438,0.7509854466705495,55,55,100.0
