,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
26,plant26,True,796.0,797.0,0.998745294855709,110.22539567947388,33,36,239,"(769.5891959798995, 460.56281407035175)",18,True,"(769.5206298828125, 460.5560302734375)",33.63904571533203,29.651248931884766,23.968950271606445,0.4722711334222211,55,55,100.0
27,plant27,True,1013.0,1045.0,0.969377990430622,133.49747383594513,36,39,269,"(918.7650542941757, 464.52615992102665)",16,True,"(918.7626953125, 464.2721862792969)",41.06413269042969,31.644855499267578,18.857894897460938,0.6372945209693448,55,55,100.0
28,plant28,True,750.0,759.0,0.9881422924901185,111.74011445045471,37,29,256,"(1070.4506666666666, 467.35333333333335)",22,True,"(1070.4434814453125, 467.36334228515625)",34.79093551635742,26.421350479125977,90.48067474365234,0.6505866622935513,55,55,100.0
29,plant29,True,763.0,748.5,1.01937207748831,105.01219260692596,31,30,231,"(1225.5491480996068, 468.3826998689384)",21,True,"(1225.55712890625, 468.3890686035156)",30.62969398498535,30.178070068359375,25.643756866455078,0.17109027552406877,55,55,100.0
30,plant30,True,1009.0,1078.0,0.9359925788497218,137.9827550649643,46,32,311,"(1388.0495540138752, 467.56590683845394)",18,True,"(1387.7308349609375, 467.8701171875)",45.665584564208984,29.3529052734375,73.2724380493164,0.7660511806293174,55,55,100.0
31,plant31,True,1437.0,1515.5,0.9482019135598813,167.1959581375122,59,40,410,"(1548.329853862213, 471.5775922059847)",20,True,"(1547.8243408203125, 470.89520263671875)",58.02244567871094,33.505592346191406,113.9110107421875,0.8164195774391656,55,55,100.0
32,plant32,True,1769.0,2045.0,0.8650366748166259,205.29646337032318,66,45,455,"(1719.0033917467497, 472.2085924250989)",19,True,"(1719.77978515625, 472.6863708496094)",62.2384147644043,39.071449279785156,83.75521087646484,0.7783983731841879,55,55,100.0
33,plant33,True,1240.0,1469.0,0.8441116405718175,180.5096664428711,51,48,373,"(138.775, 612.6887096774194)",17,True,"(139.33677673339844, 612.2606201171875)",56.58427047729492,30.739490509033203,48.41238021850586,0.8395700056496979,55,55,100.0
34,plant34,True,1321.0,1438.0,0.9186369958275382,160.71067690849304,47,45,305,"(299.66010598031795, 605.8069644208932)",21,True,"(299.5355529785156, 606.0639038085938)",42.50423049926758,40.270843505859375,76.53578186035156,0.3198892326040665,55,55,100.0
35,plant35,True,781.0,761.5,1.025607353906763,108.81118214130402,37,32,259,"(463.5083226632522, 608.3918053777209)",18,True,"(463.44622802734375, 608.446533203125)",36.29559326171875,27.048294067382812,128.09703063964844,0.6668158451741656,55,55,100.0
36,plant36,True,966.0,1004.0,0.9621513944223108,134.1248904466629,38,41,319,"(616.2867494824017, 614.1708074534162)",17,True,"(615.7685546875, 614.558837890625)",44.01346969604492,29.796268463134766,42.63400650024414,0.7360007910798869,55,55,100.0
37,plant37,True,737.0,740.0,0.995945945945946,106.81118214130402,32,33,228,"(768.6309362279511, 610.797829036635)",18,True,"(768.5877685546875, 610.7483520507812)",31.408327102661133,28.921598434448242,1.1984343528747559,0.3899741229011235,55,55,100.0
38,plant38,True,869.0,1022.0,0.850293542074364,141.29646337032318,42,41,275,"(919.385500575374, 614.0333716915995)",16,True,"(918.9309692382812, 614.8692016601562)",36.93830108642578,34.00889587402344,121.0350341796875,0.3902837137659646,55,55,100.0
39,plant39,True,1106.0,1145.0,0.965938864628821,137.39696860313416,41,38,294,"(1072.4692585895118, 618.366184448463)",15,True,"(1072.4263916015625, 618.614013671875)",39.28122329711914,37.11344909667969,88.86106872558594,0.32760728750043183,55,55,100.0
40,plant40,True,997.0,1048.0,0.9513358778625954,131.0538227558136,42,39,294,"(1224.937813440321, 622.1263791374122)",19,True,"(1225.12939453125, 622.3179931640625)",39.02817153930664,32.58860778808594,115.17063903808594,0.5502466556154525,55,55,100.0
41,plant41,True,1003.0,1064.5,0.9422263973696571,137.7401144504547,45,33,305,"(1384.2871385842473, 621.704885343968)",17,True,"(1384.591796875, 621.9323120117188)",43.04405212402344,31.025075912475586,77.92977142333984,0.6931691169796107,55,55,100.0
42,plant42,True,915.0,940.0,0.973404255319149,126.81118214130402,43,32,302,"(1542.744262295082, 624.8)",17,True,"(1542.89404296875, 624.8497924804688)",40.369407653808594,29.49225425720215,87.87983703613281,0.6828490444118465,55,55,100.0
43,plant43,True,1248.0,1295.5,0.9633346198379005,155.39696860313416,48,37,332,"(1706.2972756410256, 631.9535256410256)",21,True,"(1705.929931640625, 631.8963012695312)",49.488956451416016,32.36735153198242,109.61038208007812,0.7564670499185133,55,55,100.0
44,plant44,True,1142.0,1270.5,0.8988587170405352,152.46803629398346,43,40,314,"(141.50700525394046, 758.9316987740806)",16,True,"(141.0795440673828, 759.1061401367188)",39.86171340942383,38.11106872558594,77.01009368896484,0.29309914900078693,55,55,100.0
45,plant45,True,799.0,825.0,0.9684848484848485,118.91168737411499,31,38,267,"(305.51063829787233, 762.7922403003755)",15,True,"(305.5567626953125, 763.1099243164062)",36.6546745300293,28.850990295410156,17.76711082458496,0.6168220718084092,55,55,100.0
46,plant46,True,912.0,916.0,0.9956331877729258,121.29646337032318,41,33,282,"(459.97587719298247, 760.1304824561404)",19,True,"(459.9428405761719, 760.1747436523438)",38.11832046508789,29.85041046142578,80.74960327148438,0.621897332484945,55,55,100.0
47,plant47,True,763.0,753.5,1.0126078301260784,108.66904675960541,39,27,286,"(614.0157273918742, 761.6736566186107)",15,True,"(613.9678955078125, 761.7589721679688)",37.576637268066406,25.176584243774414,73.4223861694336,0.7423553991553895,55,55,100.0
48,plant48,True,652.0,723.0,0.9017980636237898,119.15432798862457,31,36,238,"(768.8496932515337, 764.6917177914111)",17,True,"(769.2506103515625, 764.8511352539062)",32.5910530090332,28.79824447631836,14.298076629638672,0.46819675440497266,55,55,100.0
49,plant49,True,843.0,871.0,0.9678530424799081,119.74011445045471,32,41,289,"(920.3451957295374, 765.8730723606168)",18,True,"(920.6238403320312, 766.1284790039062)",38.78800582885742,28.747617721557617,11.160149574279785,0.6713426756387464,55,55,100.0
50,plant50,True,640.0,641.5,0.9976617303195635,102.66904675960541,29,31,215,"(1068.7234375, 768.4375)",17,True,"(1068.5894775390625, 768.4716186523438)",30.196571350097656,26.650720596313477,40.321327209472656,0.4701727797198218,55,55,100.0
51,plant51,True,790.0,840.5,0.9399167162403331,119.39696860313416,31,41,286,"(1221.3721518987343, 772.8075949367088)",16,True,"(1221.4993896484375, 772.8583374023438)",38.355167388916016,27.14149284362793,12.789875030517578,0.7065772805382808,55,55,100.0
52,plant52,True,1286.0,1330.5,0.966553927095077,149.78174459934235,43,39,346,"(1382.341368584759, 781.6827371695178)",20,True,"(1382.4683837890625, 781.7780151367188)",45.920230865478516,35.423851013183594,120.11285400390625,0.6363245623714214,55,55,100.0
53,plant53,True,878.0,921.0,0.9533116178067318,125.9827550649643,34,37,270,"(1541.1742596810934, 784.369020501139)",14,True,"(1541.236572265625, 784.4144287109375)",34.1937141418457,32.411376953125,142.60267639160156,0.31864152434724724,55,55,100.0
54,plant54,True,1176.0,1358.0,0.865979381443299,170.2670258283615,54,37,380,"(1709.123299319728, 789.5272108843537)",18,True,"(1709.46826171875, 789.9822998046875)",51.5318489074707,31.643877029418945,110.97247314453125,0.7892558758732618,55,55,100.0
