,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
0,plant0,True,940.0,1070.0,0.8785046728971962,145.53910398483276,39,37,284,"(106.6531914893617, 144.7127659574468)",20,True,"(106.66022491455078, 144.0929412841797)",38.55866622924805,33.428131103515625,119.95343017578125,0.4984088622001026,55,55,100.0
1,plant1,True,3758.0,4248.5,0.8845474873484759,288.3502861261368,74,78,637,"(252.6205428419372, 132.21367748802555)",22,True,"(252.00729370117188, 131.45704650878906)",82.49317932128906,66.50697326660156,139.61544799804688,0.5916270441550446,55,55,100.0
2,plant2,True,773.0,795.5,0.9717159019484601,140.22539567947388,32,33,218,"(431.5640362225097, 146.1836998706339)",19,True,"(431.60162353515625, 146.25035095214844)",30.988927841186523,30.475820541381836,133.40036010742188,0.1812218668476251,55,55,100.0
3,plant3,True,6419.0,7085.0,0.9059985885673959,383.8477599620819,94,103,762,"(572.5474372955289, 136.54728150802305)",29,True,"(573.0167846679688, 136.8983154296875)",101.50801849365234,84.22172546386719,144.1490478515625,0.5582019062086556,55,55,100.0
4,plant4,True,576.0,758.0,0.7598944591029023,188.36753106117249,32,31,227,"(748.3940972222222, 147.86805555555554)",14,True,"(747.7802124023438, 148.784912109375)",29.93217658996582,28.565935134887695,121.37584686279297,0.298673268355496,55,55,100.0
5,plant5,True,5701.0,6830.5,0.8346387526535393,362.4924215078354,84,117,804,"(905.2096123487107, 132.45991931240133)",24,True,"(904.563232421875, 132.20994567871094)",104.99024200439453,77.26488494873047,1.0121283531188965,0.6770636750454883,55,55,100.0
6,plant6,True,552.0,882.0,0.6258503401360545,219.48022890090942,35,35,238,"(1054.2644927536232, 148.03804347826087)",18,True,"(1053.0142822265625, 148.22413635253906)",31.82996940612793,30.463247299194336,30.301294326782227,0.28988401460834345,55,55,100.0
7,plant7,True,6211.0,7610.5,0.8161093226463438,427.3036036491394,85,111,883,"(1227.9444533891483, 133.02672677507647)",26,True,"(1228.413330078125, 135.37135314941406)",107.72986602783203,85.06195068359375,22.423351287841797,0.6136404350477225,55,55,100.0
8,plant8,True,869.0,966.5,0.8991205380237972,153.53910398483276,37,35,271,"(1363.0115074798618, 141.6570771001151)",17,True,"(1362.522216796875, 141.90472412109375)",38.27312088012695,29.711536407470703,55.15873336791992,0.6303600078169322,55,55,100.0
9,plant9,True,5828.0,8018.5,0.7268192305294008,486.31579625606537,109,107,769,"(1566.406485929993, 122.4509265614276)",20,True,"(1566.5556640625, 121.1461410522461)",108.94051361083984,91.36978149414062,45.39453125,0.5445743047521214,55,55,100.0
10,plant10,True,1103.0,1117.5,0.9870246085011186,131.0538227558136,41,37,298,"(1689.3998186763372, 132.6137805983681)",23,True,"(1689.3846435546875, 132.4525909423828)",39.76871871948242,34.517486572265625,70.2634506225586,0.49664160314353734,55,55,100.0
11,plant11,True,6329.0,7096.5,0.8918480941309096,372.73506212234497,128,81,892,"(70.32722389003003, 294.38062885131933)",27,True,"(71.21471405029297, 294.3106689453125)",125.37599182128906,70.62116241455078,99.29840087890625,0.8262694892051636,55,55,100.0
