,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
0,plant0,True,1253.0,1498.0,0.8364485981308412,204.2670258283615,52,39,354,"(121.86512370311253, 130.4980047885076)",20,True,"(121.8458480834961, 130.16708374023438)",50.18256759643555,34.8929328918457,104.48489379882812,0.7187004765366777,55,55,100.0
1,plant1,True,1237.0,1293.5,0.9563200618477,155.4385987520218,45,42,310,"(291.2910266774454, 135.6046887631366)",19,True,"(291.06201171875, 135.41342163085938)",42.30333709716797,37.533119201660156,72.8016586303711,0.46131237657380203,55,55,100.0
2,plant2,True,1432.0,1610.5,0.889164855634896,196.89444243907928,55,44,373,"(445.05935754189943, 138.54888268156424)",18,True,"(444.907958984375, 138.2694091796875)",51.60457229614258,38.61294937133789,99.5882568359375,0.6634206214828063,55,55,100.0
3,plant3,True,1408.0,1474.0,0.9552238805970149,165.1959581375122,46,49,349,"(603.2578125, 141.26136363636363)",22,True,"(603.084228515625, 141.0986785888672)",49.66279602050781,36.65453338623047,141.77908325195312,0.6747260520722171,55,55,100.0
4,plant4,True,1495.0,1754.0,0.8523375142531356,215.9655101299286,51,52,359,"(765.0214046822742, 144.12441471571907)",23,True,"(764.8544311523438, 143.89881896972656)",47.947635650634766,42.13841247558594,132.01336669921875,0.4771122880948783,55,55,100.0
5,plant5,True,1564.0,1704.0,0.9178403755868545,196.16652059555054,51,50,345,"(916.5652173913044, 147.56265984654732)",20,True,"(916.5609130859375, 147.36085510253906)",48.42131805419922,45.10788345336914,125.31900787353516,0.3635600946926738,55,55,100.0
6,plant6,True,1392.0,1467.0,0.9488752556237219,182.02438521385193,39,53,387,"(1074.932471264368, 152.71264367816093)",21,True,"(1074.523681640625, 153.1287078857422)",52.94609451293945,34.86599349975586,17.96739387512207,0.7525643610324838,55,55,100.0
7,plant7,True,1647.0,1871.0,0.880277926242651,206.40916121006012,56,45,432,"(1236.0892531876138, 152.21554341226474)",19,True,"(1236.2613525390625, 152.35623168945312)",54.582603454589844,42.4062614440918,61.29819869995117,0.6296005674508312,55,55,100.0
8,plant8,True,1555.0,1865.0,0.8337801608579088,220.06601536273956,58,54,387,"(1390.7858520900322, 154.00064308681672)",19,True,"(1391.552978515625, 153.44183349609375)",55.510894775390625,42.44172286987305,60.306907653808594,0.6445458711034361,55,55,100.0
9,plant9,True,1803.0,2280.0,0.7907894736842105,253.1787132024765,71,49,494,"(1564.1863560732113, 153.5440931780366)",23,True,"(1564.0111083984375, 153.6468505859375)",76.274658203125,34.62507247924805,72.72703552246094,0.8910258803178372,55,55,100.0
