,plant_id,plant_in_bounds,plant_area,plant_convex_hull_area,plant_solidity,plant_perimeter,plant_width,plant_height,plant_longest_path,plant_center_of_mass,plant_convex_hull_vertices,plant_object_in_frame,plant_ellipse_center,plant_ellipse_major_axis,plant_ellipse_minor_axis,plant_ellipse_angle,plant_ellipse_eccentricity,total_plants,germinated_plants,germination_rate
15,plant15,True,1086.0,1108.0,0.98014440433213,134.56854152679443,38,43,290,"(777.3922651933701, 288.6243093922652)",20,True,"(777.6017456054688, 288.4089050292969)",43.47870635986328,31.4774227142334,35.31047058105469,0.6898279890822621,55,55,100.0
16,plant16,True,1185.0,1265.5,0.9363887791386803,151.0538227558136,35,47,310,"(924.2708860759494, 287.5535864978903)",16,True,"(923.9525146484375, 287.5044250488281)",45.957763671875,35.6396369934082,173.12962341308594,0.6313638361629255,55,55,100.0
17,plant17,True,1045.0,1090.5,0.958276020174232,143.88224983215332,45,35,310,"(1079.0803827751197, 289.8066985645933)",20,True,"(1078.9927978515625, 289.9396057128906)",44.88052749633789,30.131235122680664,73.01705932617188,0.7411264703113757,55,55,100.0
18,plant18,True,1347.0,1501.0,0.8974017321785477,172.61017167568207,49,46,348,"(1236.0467706013362, 292.39123979213065)",17,True,"(1236.1080322265625, 292.5846252441406)",48.76438522338867,37.343788146972656,52.14362335205078,0.6430782773608971,55,55,100.0
19,plant19,True,1376.0,1513.0,0.9094514210178454,176.16652059555054,51,44,331,"(1393.0101744186047, 292.81177325581393)",20,True,"(1392.7554931640625, 293.0868225097656)",52.06486129760742,35.10393142700195,70.91268920898438,0.7385172247942019,55,55,100.0
20,plant20,True,2166.0,2752.0,0.7870639534883721,257.62236428260803,73,59,495,"(1562.9566020313944, 294.0420129270545)",20,True,"(1564.306640625, 294.10736083984375)",65.7411880493164,52.9128532409668,93.35870361328125,0.5934564606689701,55,55,100.0
21,plant21,True,1556.0,1802.5,0.863245492371706,192.5096664428711,52,45,390,"(1716.202442159383, 293.90552699228795)",18,True,"(1718.1146240234375, 293.62237548828125)",57.13980484008789,41.00076675415039,66.24739837646484,0.6965051982457151,55,55,100.0
22,plant22,True,1621.0,1759.5,0.92128445581131,181.68123936653137,59,37,429,"(147.4898210980876, 436.9062307217767)",21,True,"(146.99435424804688, 437.1415710449219)",64.34396362304688,34.048797607421875,82.03648376464844,0.8485167746229176,55,55,100.0
23,plant23,True,1299.0,1364.5,0.9519970685232686,158.71067690849304,54,34,375,"(308.23325635103924, 437.3987682832948)",18,True,"(308.52972412109375, 437.14129638671875)",53.207523345947266,31.30684471130371,83.37967681884766,0.8085763158919838,55,55,100.0
24,plant24,True,1180.0,1216.5,0.9699958898479244,138.36753106117249,43,43,303,"(471.8322033898305, 440.0050847457627)",24,True,"(471.5616760253906, 440.1154479980469)",43.4703254699707,35.62175369262695,142.0980682373047,0.5731508245437184,55,55,100.0
